author,favorite_count,text,in_reply_to_screen_name,created_at,retweet_count,id_str,imagelink
vote_leave,173,Edward Fox backs Brexit: https://t.co/FgR8nQyH6V #VoteLeave #TakeControl https://t.co/98SuF30uGK,,Tue May 17 19:21:10 +0000 2016,153,732652196957945856,https://pbs.twimg.com/media/CirnSoQWYAAHWlg.jpg
timfarron,1,@macetheace1765 I'm speaking in the debate later.,,Wed May 18 17:12:59 +0000 2016,0,732982328809639936,NA
peoplesvote_hq,41,Disgraceful response from Leave campaign proves they want Brexit at any cost - even a cost to you and your family. https://t.co/G2PrCG3MDd,,Mon Apr 18 15:32:22 +0000 2016,108,722085369223757824,https://pbs.twimg.com/media/CgVcv87WQAIC7H0.jpg
peoplesvote_hq,38,"From China &amp; India to the USA, world leaders agree that the UK is better off IN. https://t.co/o9PcwO0yQw https://t.co/mcgFhN5F1U #bbcqt",,Sun Jun 19 18:17:16 +0000 2016,50,744594916932739072,https://pbs.twimg.com/media/CisK2m8XEAEs9hK.jpg
timfarron,10,Could you set the policy of future Parliaments? We're hiring Non Executive Chairs. Apply→ https://t.co/OX5c6QlBK5 https://t.co/uOOv3yzQVY,,Fri May 27 16:16:01 +0000 2016,29,736229480537194498,https://pbs.twimg.com/media/CjecleVWYAMm8q4.jpg
peoplesvote_hq,57,The Leave Campaign want us to leave Europe and be like Albania. There's nothing British about Brexit. https://t.co/gOp2wRuKi8,,Sun Apr 24 19:06:16 +0000 2016,75,724313524793651200,https://pbs.twimg.com/media/Cg1HT66WMAAtXXK.jpg
LeaveEUOfficial,93,"No.10 leaflet breaches electoral law by failing to include imprint

@ElectoralCommUK rules don't apply to #DodgyDave
https://t.co/Ipym2awfwd",,Sun Apr 17 15:05:26 +0000 2016,150,721716202825990144,NA
peoplesvote_hq,7,"""House prices will be hit significantly"": Osborne &amp; Bank of England #Brexit warning https://t.co/tOIZilPKNy https://t.co/78ZyPfVzqM",,Mon May 09 20:42:49 +0000 2016,20,729773640351424512,https://pbs.twimg.com/media/CiCtOpUWUAExL8G.jpg
LiamFox,38,Travelling to Glasgow for tonight's #BBCDebate on @BBCOne &amp; @bbc5live live @ 8pm #EUref @vicderbyshire #VictoriaLIVE https://t.co/h9lHVzvXtK,,Thu May 26 17:42:23 +0000 2016,12,735888830251814912,https://pbs.twimg.com/media/CjZm_b7WsAArWXN.jpg
SadiqKhan,39,As Mayor I will show the leadership that Londoners need on our NHS https://t.co/t0qR2tbKKk,,Tue Apr 19 09:48:41 +0000 2016,38,722361267990761472,NA
